,dice-BG,dice-BS,dice-CRB,dice-CSF,dice-DGM,dice-GM,dice-WM,vol-BG,vol-BS,vol-CRB,vol-CSF,vol-DGM,vol-GM,vol-WM
28328,0.99679832789719158,0.90795214637579169,0.93497872005265836,0.88744725238640576,0.86853936625544004,0.94877984174531327,0.96243947717293088,8831619.0,20760.0,174798.0,290454.0,41708.0,637196.0,489225.0
28331,0.99502136421633014,0.89239187886702109,0.85577183022438497,0.88124100596176247,0.88309534220962316,0.92637989257251008,0.95032542564731404,9218280.0,16746.0,131589.0,305800.0,32079.0,431285.0,349981.0
28332,0.99690561666402389,0.91185217265771623,0.90942985862979653,0.89134602936667462,0.81778219371932681,0.90496903508272231,0.93585551114637477,9055068.0,16854.0,118977.0,386144.0,33001.0,488940.0,386776.0
28339,0.99779158728022421,0.87796692738639748,0.93325007248154512,0.91400705719341946,0.85068667704941248,0.94030206733740862,0.95474226792082151,9109697.0,17561.0,130239.0,270097.0,33764.0,497235.0,427167.0
28341,0.99793246287338666,0.87294434365306961,0.94143041748785361,0.9011357155934151,0.86558353716026948,0.95278823676368241,0.9615617084071274,9105606.0,15998.0,135413.0,224011.0,34032.0,559280.0,411420.0
28342,0.99764266247801181,0.84409543340169058,0.93577431170278347,0.88148069579974542,0.85858059133336806,0.94704779196578948,0.9576438393619523,9035823.0,17914.0,147026.0,219379.0,36343.0,583542.0,445733.0
28344,0.99733718107479385,0.9114843143775635,0.91187937311197753,0.92212233594182968,0.86974446027463703,0.94018445682033525,0.9573192268945907,9175765.0,18074.0,135217.0,319234.0,32064.0,432016.0,373390.0
28346,0.99811790746896445,0.9130581349023934,0.94290567988773177,0.88539576898749994,0.89815162242850388,0.9414621203707132,0.96107384726808887,9219689.0,16073.0,135375.0,216427.0,30506.0,488929.0,378761.0
28351,0.99283028769203652,0.75631403568870481,0.63976037573843925,0.89598732985471607,0.85323148002310079,0.8998098028819066,0.94863354188526861,8938367.0,16784.0,141132.0,381343.0,36433.0,497419.0,474282.0
28370,0.99787559480527055,0.90241366099283016,0.93865039411567852,0.90377015157327356,0.88439523926953678,0.9525116391314381,0.96176163799585157,9048283.0,18261.0,141638.0,250629.0,36960.0,559112.0,430877.0
28374,0.99754244477999909,0.90312165873498396,0.93471323513173299,0.9014473489620175,0.86623140607121218,0.94102296787111273,0.95402388087511447,9014854.0,22715.0,173281.0,264790.0,35404.0,544755.0,429961.0
28377,0.99719885427582711,0.89813636703839528,0.9319840199624444,0.91223795591168744,0.86191212589829891,0.94060834104138891,0.95481581590986286,9100671.0,19399.0,152649.0,289450.0,31939.0,466962.0,424690.0
28384,0.99787337043798741,0.89559911597962905,0.94878955662920406,0.8952710121123223,0.85467171717171719,0.95920361461680281,0.96568302617737967,9059169.0,19310.0,153330.0,220066.0,36180.0,556572.0,441133.0
28387,0.99803321509291421,0.90294051374493012,0.94623679674724881,0.89550006337938903,0.88089469329866443,0.9448247541942475,0.95561561988761645,9123462.0,17580.0,133595.0,222702.0,32964.0,534519.0,420938.0
28388,0.9948655649162762,0.66771427288645446,0.81536296401471653,0.85306187023365665,0.74294500483808967,0.78895331811795755,0.85184673447195036,9115928.0,9039.0,131438.0,386567.0,35617.0,464822.0,342349.0
28395,0.9948784807384945,0.70392624384040692,0.80907188360023607,0.89070905573049053,0.80458846858605892,0.83934923738075229,0.8796417372699733,9006595.0,18128.0,149931.0,418790.0,38819.0,476215.0,377282.0
28403,0.99747196685544748,0.91974719463433507,0.93286708118766648,0.91209736364552874,0.8651790162091737,0.93459413302604166,0.95672845523193972,8947746.0,19119.0,144247.0,305124.0,36916.0,521601.0,511007.0
28414,0.99766613245744862,0.88628461043142304,0.93916150993313274,0.91401444697808487,0.88203423040954765,0.93368220075134334,0.9529246116029878,9073596.0,18737.0,139990.0,307836.0,33340.0,484783.0,427478.0
28417,0.99803968561427536,0.8823729337247026,0.9274641708101784,0.89855537227114279,0.8372221817386869,0.95121212181225134,0.95909905935189743,9229317.0,15441.0,123011.0,218850.0,31719.0,505861.0,361561.0
28418,0.99454187933584892,0.82586069881309443,0.80557092787308615,0.91065471174032941,0.87803194636166437,0.92394249663874239,0.9544282404139226,8882034.0,21536.0,149891.0,409025.0,40159.0,488158.0,494957.0
28434,0.99729937446440209,0.89196984263522749,0.93223877826974577,0.91835880789475643,0.85130989240926891,0.93247617345120404,0.95169713647884913,9137070.0,18890.0,146100.0,320797.0,34099.0,438964.0,389840.0
28450,0.99781304774744028,0.90045788120178138,0.93179648174033924,0.91493179419089077,0.89701128392802687,0.94184361356060564,0.95436904242223475,9266148.0,15410.0,125192.0,254981.0,31023.0,424360.0,368646.0
28459,0.99714209222943573,0.91562766010715535,0.93401397264076746,0.91438189517339707,0.85896557744738578,0.93796985853805681,0.95939030860718078,8972653.0,19870.0,164190.0,329433.0,35663.0,512973.0,450978.0
28468,0.9979262267437462,0.9306905587017158,0.94589691194163816,0.9091930424045771,0.8786085244712678,0.94719348908403755,0.96106715233254991,9085518.0,23191.0,153228.0,266928.0,37284.0,503094.0,416517.0
28473,0.9975365543723993,0.92721133748306039,0.93110188662669391,0.92342135734240838,0.86063091313553641,0.94075362610485902,0.95242492235302656,9011180.0,21524.0,153216.0,304517.0,34082.0,502300.0,458941.0
28477,0.99791872143566074,0.87036277925804473,0.93760727280084433,0.91602395575385354,0.87696786410785454,0.94385680451812715,0.95461957656373608,9022120.0,17903.0,142686.0,269127.0,33673.0,541465.0,458786.0
28479,0.99666934978534105,0.91158955565735222,0.93491349042811589,0.86302094680817953,0.83761348582262785,0.92826497407333264,0.95393673857985317,8795995.0,21007.0,169769.0,267528.0,38323.0,631897.0,561241.0
28486,0.99744093695749503,0.89622086050112304,0.93170789994433578,0.8769873390501346,0.839488822457511,0.94021367641413145,0.94965904210238616,8995209.0,21951.0,167382.0,227114.0,39265.0,580348.0,454491.0
28489,0.99759430543935002,0.88652577016592304,0.92924807060855819,0.91680940456171223,0.88350606327690484,0.93415735571637393,0.95653243553424494,9166170.0,18039.0,136853.0,276805.0,32103.0,449111.0,406679.0
28503,0.99678559158221036,0.84834675710046625,0.901736869806536,0.90658214300415763,0.76607865673879372,0.82699672881615582,0.84820469709792323,9126739.0,17361.0,118201.0,301560.0,37310.0,489547.0,395042.0
28513,0.99751263354816688,0.89278601174310024,0.93954543597736295,0.88689602934141287,0.88635636903163095,0.95076251988035931,0.9651091890427046,9012960.0,17911.0,154924.0,240715.0,37255.0,593071.0,428924.0
28520,0.99736594196654826,0.84534045393858481,0.9194292450580227,0.90690520358239302,0.84917613329839547,0.92676055522139633,0.93927491643540484,9064237.0,17786.0,138694.0,324049.0,30921.0,525836.0,384237.0
28524,0.99794774003855369,0.88834134900139783,0.94518040219127264,0.91672403476225228,0.89170810374949605,0.94836237490530972,0.95837206652312901,9084970.0,20133.0,141402.0,261336.0,35435.0,512221.0,430263.0
28531,0.99781431269955367,0.8945488582900214,0.94353242238424029,0.86880164740973476,0.85412040617749063,0.95550772672278128,0.96142553592363089,9107745.0,18872.0,160623.0,172326.0,38356.0,605163.0,382675.0
28539,0.99773915843831273,0.9221349353049908,0.94491201699410543,0.85934136187354859,0.7677456936007323,0.93109770331215835,0.95312116062450059,8929971.0,21153.0,156518.0,236893.0,33520.0,604697.0,503008.0
28548,0.99734225102382068,0.91080054764795537,0.89342500745680786,0.9116117545436917,0.87702666908310212,0.94332844129275084,0.95646436196792806,9032439.0,19477.0,137697.0,274085.0,33706.0,532077.0,456279.0
28556,0.9973562257620695,0.88008856555432546,0.90796497971385859,0.8947082363563843,0.85842503056574415,0.95403146870618527,0.96416242474703917,9178772.0,15831.0,146285.0,227027.0,34382.0,508700.0,374763.0
28560,0.99733095118119108,0.88204910493172006,0.91755613401845704,0.92603581612720087,0.87644332300266037,0.95109731663197494,0.96343387941381786,9025915.0,20602.0,147545.0,313100.0,34689.0,501414.0,442495.0
28571,0.99333708856877723,0.59552915429107389,0.68569727897329058,0.8460687453809288,0.85584551414504728,0.93600071407850405,0.96080717190633969,8949736.0,19170.0,164701.0,222284.0,37458.0,641635.0,450776.0
28575,0.98826031881915188,0.62382414740585101,0.6430521329235287,0.82454849972528932,0.85619587298193089,0.85407077084462324,0.92503590879797137,8944270.0,18417.0,154877.0,361357.0,36012.0,465855.0,504972.0
28590,0.99753790779202367,0.84365224894833346,0.93216597650638044,0.91866158775897166,0.85622394611158659,0.938834579564231,0.95172956442502432,9192330.0,17044.0,143905.0,287444.0,35142.0,444731.0,365164.0
28591,0.99467304558228919,0.68747169811320752,0.73723776657811768,0.90427202705241405,0.77493883117404039,0.91069110215326843,0.9321064037259742,9149658.0,15860.0,124403.0,328665.0,37467.0,464487.0,365220.0
28597,0.99762397946861714,0.89114954221770093,0.94121530400442488,0.91437436728622945,0.86361382046619273,0.94693553434882738,0.95925597488250691,8990689.0,21628.0,162256.0,274681.0,36939.0,526925.0,472642.0
28603,0.99449686984817653,0.82067289100049723,0.81197506263002261,0.87521136061205362,0.86878859159070865,0.93010402551393878,0.95202056859820405,8782952.0,19947.0,170106.0,284736.0,39574.0,656692.0,531753.0
28604,0.99754661230674657,0.92215216271252975,0.92951998702915684,0.90354748688082021,0.84682387396485559,0.95489766658272779,0.96015989121385092,8994038.0,20160.0,156032.0,256230.0,36843.0,584553.0,437904.0
28608,0.99783502545150304,0.92246179507935344,0.94356869876401539,0.8796260225944682,0.82914142160484705,0.93428777529010776,0.94832580303522784,9099950.0,20016.0,150291.0,219009.0,30528.0,530859.0,435107.0
28621,0.99788999200620987,0.89578074287774978,0.94453486740564052,0.89453954428480642,0.88324267129698708,0.95462879313619176,0.96700459066564648,9084726.0,18818.0,138574.0,231636.0,34880.0,565909.0,411217.0
28631,0.99745091977121658,0.90041525488497698,0.92800437275065117,0.90951083485887008,0.88133054056678362,0.95226292298243276,0.96555542060077604,9050317.0,19739.0,157582.0,282261.0,34581.0,543447.0,397833.0
28634,0.99798176323517807,0.89229063844387557,0.94174382716049387,0.91036077043462249,0.86337123350267453,0.95403981659905834,0.9621462499525496,9131724.0,18142.0,133555.0,238925.0,34090.0,509878.0,419446.0
28635,0.9979367451686213,0.91449667455754702,0.94392988308970927,0.90176561401172639,0.87506104743026225,0.95692270447341143,0.96285963382737572,9183449.0,17212.0,133851.0,230462.0,32571.0,531367.0,356848.0
